id;Año de puesta en operación;Código SIC;Nombre del recurso;Capacidad efectiva neta [mW];Factor de conversión;¿Es menor?;Tipo de despacho;Combustible po defecto;Fecha de operación;Agente representante;Estado del recurso;Tipo de generación;Clasificación;Fecha;Municipio;cod_mpio;Departamento;x;y
520;2000;ALBG;ALBAN;427.00;4.10;NO;DC;AGUA;14/12/2000;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;BUENAVENTURA;76109;VALLE DEL CAUCA;4542221.788;1945045.826
521;2016;MAN1;INGENIO MANUELITA;3.50;0.00;NO;ND;BAGAZO;16/3/2016;CELSIA COLOMBIA S.A. E.S.P.;INACTIVO;COGENERADOR;COGENERADOR;12/2/2026;CALI;76001;VALLE DEL CAUCA;4602621.323;1934336.027
522;1994;VLL1;VALLE 1;39.50;0.00;NO;DC;ACPM;31/12/1993;CENTRAL HIDROELECTRICA DE BETANIA S.A. E.S.P.;INACTIVO;TERMICA;NORMAL;12/2/2026;CALI;76001;VALLE DEL CAUCA;4602621.323;1934336.027
523;1925;RCL1;RIO CALI;1.80;0.00;SI;ND;AGUA;31/12/1924;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;CALI;76001;VALLE DEL CAUCA;4602621.323;1934336.027
524;1942;NIM1;NIMA;6.70;0.00;SI;ND;AGUA;31/12/1941;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;CALI;76001;VALLE DEL CAUCA;4602621.323;1934336.027
525;2024;3JPA;GD ALFEREZ;0.60;0.00;SI;ND;RAD SOLAR;21/2/2024;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;CALI;76001;VALLE DEL CAUCA;4602621.323;1934336.027
526;1967;CLMG;CALIMA;132.00;1.84;NO;DC;AGUA;31/12/1966;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;CALIMA;76126;VALLE DEL CAUCA;4595529.108;1992405.141
527;2007;CTMO;CENTRAL TUMACO 1;0.00;0.00;NO;ND;BAGAZO;24/3/2007;CELSIA COLOMBIA S.A. E.S.P.;INACTIVO;COGENERADOR;COGENERADOR;12/2/2026;CALIMA;76126;VALLE DEL CAUCA;4595529.108;1992405.141
528;2025;4VYM;AUTOG MOLINOS SANTA MARTA;3.30;0.00;NO;ND;RAD SOLAR;23/12/2025;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;SOLAR;AUTOGENERADOR;12/2/2026;BUGALAGRANDE;76113;VALLE DEL CAUCA;4657090.568;2022428.268
529;2025;4WUK;AUTOG COMOLSA;3.30;0.00;NO;ND;RAD SOLAR;23/12/2025;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;SOLAR;AUTOGENERADOR;12/2/2026;BUGALAGRANDE;76113;VALLE DEL CAUCA;4657090.568;2022428.268
530;2025;4WUM;AUTOG QBCO;3.30;0.00;NO;ND;RAD SOLAR;23/12/2025;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;SOLAR;AUTOGENERADOR;12/2/2026;BUGALAGRANDE;76113;VALLE DEL CAUCA;4657090.568;2022428.268
531;2024;3Q7D;AUTOG BIOS FINCA BUGA;1.06;0.00;NO;ND;RAD SOLAR;20/10/2024;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;PRUEBAS;SOLAR;AUTOGENERADOR;12/2/2026;BUGALAGRANDE;76113;VALLE DEL CAUCA;4657090.568;2022428.268
532;2023;3HS9;AUTOG BUGA I SOLLA;4.90;0.00;NO;ND;RAD SOLAR;15/6/2023;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;AUTOGENERADOR;12/2/2026;BUGALAGRANDE;76113;VALLE DEL CAUCA;4657090.568;2022428.268
533;2023;3GSF;AUTOG BUGA I GRASAS;4.00;0.00;NO;ND;RAD SOLAR;14/4/2023;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;AUTOGENERADOR;12/2/2026;BUGALAGRANDE;76113;VALLE DEL CAUCA;4657090.568;2022428.268
534;2024;3JP6;GD BASILICA;0.98;0.00;SI;ND;RAD SOLAR;15/2/2024;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;BUGALAGRANDE;76113;VALLE DEL CAUCA;4657090.568;2022428.268
535;2010;CGM1;MAYAGUEZ 1;19.90;0.00;NO;ND;CARBON;16/8/2010;ECOGENERATION S.A.S. E.S.P.;OPERACIÓN;COGENERADOR;COGENERADOR;12/2/2026;CANDELARIA;76130;VALLE DEL CAUCA;4624120.062;1932382.457
536;2020;3ACC;CELSIA SOLAR CARMELO;9.90;0.00;SI;ND;RAD SOLAR;26/12/2020;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;AUTOGENERADOR;12/2/2026;CANDELARIA;76130;VALLE DEL CAUCA;4624120.062;1932382.457
537;2024;3KVZ;AUTOG BIOS CONTEGRAL CARTAGO;3.23;0.00;NO;ND;RAD SOLAR;23/5/2024;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;PRUEBAS;SOLAR;AUTOGENERADOR;12/2/2026;CARTAGO;76147;VALLE DEL CAUCA;4676387.8;2078777.768
538;2021;3C3X;AUTOG INGENIO MARIA LUISA 1;1.80;0.00;SI;ND;BAGAZO;13/8/2021;DEPI ENERGY S.A.S. E.S.P.;OPERACIÓN;TERMICA;AUTOGENERADOR;12/2/2026;FLORIDA;76275;VALLE DEL CAUCA;4648381.902;1923670.752
539;2021;3AL8;INGENIO MARIA LUISA;1.80;0.00;NO;ND;BAGAZO;30/1/2021;DEPI ENERGY S.A.S. E.S.P.;INACTIVO;COGENERADOR;COGENERADOR;12/2/2026;FLORIDA;76275;VALLE DEL CAUCA;4648381.902;1923670.752
540;2023;3GI6;GRANJA SOLAR EL SALADO;0.10;0.00;SI;ND;RAD SOLAR;16/6/2023;FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.;OPERACIÓN;SOLAR;NORMAL;12/2/2026;DAGUA;76233;VALLE DEL CAUCA;4586720.123;1962167.761
541;2009;CIP1;INGENIO PROVIDENCIA 2;19.90;0.00;NO;ND;CARBON;17/5/2009;NITRO ENERGY COLOMBIA S.A.S. E.S.P.;OPERACIÓN;COGENERADOR;COGENERADOR;12/2/2026;EL CERRITO;76248;VALLE DEL CAUCA;4632558.627;1962665.383
542;2024;3PKN;GRANJA SOLAR PALMASECA II;12.00;0.00;SI;ND;RAD SOLAR;29/10/2024;CELSIA COLOMBIA S.A. E.S.P.;INACTIVO;SOLAR;NORMAL;12/2/2026;PALMIRA;76520;VALLE DEL CAUCA;4641461.697;1951834.164
543;2024;3PKH;GRANJA SOLAR PALMASECA I;13.00;0.00;SI;ND;RAD SOLAR;29/10/2024;CELSIA COLOMBIA S.A. E.S.P.;INACTIVO;SOLAR;NORMAL;12/2/2026;PALMIRA;76520;VALLE DEL CAUCA;4641461.697;1951834.164
544;2025;3PWF;AUTOG SOLAR PALMIRA II BERRY;4.99;0.00;NO;ND;RAD SOLAR;12/12/2025;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;SOLAR;AUTOGENERADOR;12/2/2026;PALMIRA;76520;VALLE DEL CAUCA;4641461.697;1951834.164
545;2025;4UZO;SOLAR PALMASECA II;11.95;0.00;SI;ND;RAD SOLAR;30/3/2025;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;PALMIRA;76520;VALLE DEL CAUCA;4641461.697;1951834.164
546;2025;4UZM;SOLAR PALMASECA I;13.00;0.00;SI;ND;RAD SOLAR;30/3/2025;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;PALMIRA;76520;VALLE DEL CAUCA;4641461.697;1951834.164
547;2023;3FCD;AUTOG CELSIA SOLAR PALMIRA 3;4.99;0.00;NO;ND;RAD SOLAR;29/3/2023;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;AUTOGENERADOR;12/2/2026;PALMIRA;76520;VALLE DEL CAUCA;4641461.697;1951834.164
548;2023;3HE8;AUTOG CELSIA SOLAR PALMIRA 3 ZONA FRANCA;2.90;0.00;NO;ND;RAD SOLAR;29/4/2023;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;AUTOGENERADOR;12/2/2026;PALMIRA;76520;VALLE DEL CAUCA;4641461.697;1951834.164
549;2024;2UP2;COGENERADOR MANUELITA 2;12.00;0.00;NO;ND;BAGAZO;5/12/2024;EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.;OPERACIÓN;COGENERADOR;COGENERADOR;12/2/2026;PALMIRA;76520;VALLE DEL CAUCA;4641461.697;1951834.164
550;2011;AMA1;AMAIME;19.17;1.55;SI;ND;AGUA;5/1/2011;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;PALMIRA;76520;VALLE DEL CAUCA;4641461.697;1951834.164
551;2011;TVL1;TERMOVALLE CC;237.00;6.99;NO;DC;ACPM;16/12/2011;ENFRAGEN TERMOVALLE S.A.S. EMPRESA DE SERVICIOS PUBLICOS;OPERACIÓN;TERMICA;CICLO COMBINADO;12/2/2026;PALMIRA;76520;VALLE DEL CAUCA;4641461.697;1951834.164
552;1999;TEC1;TERMOEMCALI CC;229.00;6.94;NO;DC;GAS;15/7/1999;TERMOEMCALI I S.A. E.S.P.;OPERACIÓN;TERMICA;CICLO COMBINADO;12/2/2026;PALMIRA;76520;VALLE DEL CAUCA;4641461.697;1951834.164
553;2004;CAS1;CENTRAL CASTILLA 1;3.00;0.00;NO;ND;BAGAZO;14/8/2004;RIOPAILA ENERGÍA S.A.S. E.S.P.;OPERACIÓN;COGENERADOR;COGENERADOR;12/2/2026;PRADERA;76563;VALLE DEL CAUCA;4646906.06;1936570.811
554;2010;PIC1;INGENIO PICHICHI 1;0.00;0.00;NO;ND;BAGAZO;25/1/2010;EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.;OPERACIÓN;COGENERADOR;COGENERADOR;12/2/2026;GUACARÍ;76318;VALLE DEL CAUCA;4628509.884;1974118.386
555;2025;5F49;AUTOG CARVAJAL GINEBRA;3.40;0.00;SI;ND;RAD SOLAR;29/9/2025;ENEL COLOMBIA SA ESP;PRUEBAS;SOLAR;AUTOGENERADOR;12/2/2026;GINEBRA;76306;VALLE DEL CAUCA;4645651.946;1972370.556
556;2024;3JP8;GD LA URIBE;0.60;0.00;SI;ND;RAD SOLAR;13/3/2024;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;LA VICTORIA;76403;VALLE DEL CAUCA;4670860.876;2054090.777
557;2024;3K6X;GD LA HONDA;0.98;0.00;SI;ND;RAD SOLAR;13/3/2024;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;LA VICTORIA;76403;VALLE DEL CAUCA;4670860.876;2054090.777
558;2023;3HF7;CELSIA SOLAR LA VICTORIA II;19.90;0.00;SI;ND;RAD SOLAR;29/8/2023;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;LA VICTORIA;76403;VALLE DEL CAUCA;4670860.876;2054090.777
559;2023;3HF9;CELSIA SOLAR LA VICTORIA I;19.90;0.00;SI;ND;RAD SOLAR;29/8/2023;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;LA VICTORIA;76403;VALLE DEL CAUCA;4670860.876;2054090.777
560;2024;3QPE;GD BOCAS DEL PALO;0.10;0.00;SI;ND;RAD SOLAR;27/12/2024;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;JAMUNDÍ;76364;VALLE DEL CAUCA;4596858.41;1913856.917
561;2025;4RG6;AUTOG CELSIA SOLAR TQ JAMUNDI;1.92;0.00;NO;ND;RAD SOLAR;25/3/2025;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;AUTOGENERADOR;12/2/2026;JAMUNDÍ;76364;VALLE DEL CAUCA;4596858.41;1913856.917
