id;Año de puesta en operación;Código SIC;Nombre del recurso;Capacidad efectiva neta [mW];Factor de conversión;¿Es menor?;Tipo de despacho;Combustible po defecto;Fecha de operación;Agente representante;Estado del recurso;Tipo de generación;Clasificación;Fecha;Municipio;cod_mpio;Departamento;x;y
362;2026;5ISS;GD PARQUE SOLAR GRANADA II;0.99;0.00;SI;ND;RAD SOLAR;4/1/2026;ELECTRIFICADORA DEL META S.A. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;GRANADA;50313;META;4915492.64;1938269.799
363;2025;5H1O;GD YUAN SOLAR;0.99;0.00;SI;ND;RAD SOLAR;15/12/2025;UNERGY ENERGY DIGITAL S.A.S E.S.P;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;BARRANCA DE UPÍA;50110;META;5000500.792;2057353.29
364;2025;4WWY;GD SAN MARTIN;0.99;0.00;SI;ND;RAD SOLAR;10/5/2025;ELECTRIFICADORA DEL META S.A. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;SAN MARTÍN;50689;META;5038104.456;1946516.493
365;2025;4Y5T;GD SAN MARTIN III;0.99;0.00;SI;ND;RAD SOLAR;14/6/2025;ELECTRIFICADORA DEL META S.A. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;SAN MARTÍN;50689;META;5038104.456;1946516.493
366;2025;4XQA;GD SAN MARTIN II;0.99;0.00;SI;ND;RAD SOLAR;24/5/2025;ELECTRIFICADORA DEL META S.A. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;SAN MARTÍN;50689;META;5038104.456;1946516.493
367;2020;3AL6;AGPE ENTREPALMAS;0.50;0.00;NO;ND;BIOGAS;30/12/2020;CELSIA COLOMBIA S.A. E.S.P.;INACTIVO;TERMICA;AUTOG PEQ. ESCALA;12/2/2026;SAN MARTÍN;50689;META;5038104.456;1946516.493
368;2024;3J4T;PARQUE SOLAR VERSALLES;9.00;0.00;SI;ND;RAD SOLAR;10/3/2024;GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;SAN JUAN DE ARAMA;50683;META;4915720.178;1920932.65
369;2024;3J4R;PARQUE SOLAR DINAMARCA;9.00;0.00;SI;ND;RAD SOLAR;10/3/2024;GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;SAN JUAN DE ARAMA;50683;META;4915720.178;1920932.65
370;2020;TR3G;TRINA-VATIA BSLIII;19.90;0.00;SI;ND;RAD SOLAR;29/11/2020;ISAGEN S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;PUERTO GAITÁN;50568;META;5151853.288;2000678.987
371;2020;2ZP9;TRINA-VATIA BSLI;19.90;0.00;SI;ND;RAD SOLAR;9/9/2020;ISAGEN S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;PUERTO GAITÁN;50568;META;5151853.288;2000678.987
372;2022;3EDL;BOSQUES SOLARES DE LOS LLANOS 5;17.90;0.00;SI;ND;RAD SOLAR;11/9/2022;ISAGEN S.A. E.S.P.;OPERACIÓN;SOLAR;NORMAL;12/2/2026;PUERTO GAITÁN;50568;META;5151853.288;2000678.987
373;2022;3EFY;BOSQUES SOLARES DE LOS LLANOS 4;19.90;0.00;SI;ND;RAD SOLAR;11/9/2022;ISAGEN S.A. E.S.P.;OPERACIÓN;SOLAR;NORMAL;12/2/2026;PUERTO GAITÁN;50568;META;5151853.288;2000678.987
374;2021;TR2G;TRINA-VATIA BSLII;19.90;0.00;SI;ND;RAD SOLAR;21/1/2021;ISAGEN S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;PUERTO GAITÁN;50568;META;5151853.288;2000678.987
